simulation_id,scenario_id,replicate,n_snps,n_sample,p_pop_hybridisation,p_individual_hybrid_given_pop,p_individual_hybrid_unconditional,expected_n_hybrid,prob_sample_contains_at_least_one_hybrid_theory,pop_hybridisation_occurred,true_n_hybrid,true_n_nonhybrid,true_any_hybrid,detected_hybrid_n_by_q,detected_true_hybrid_n_by_q,false_positive_n_by_q,false_negative_n_by_q,detected_any_true_hybrid_by_q,any_false_positive_by_q,mean_q_trout_hat,min_q_trout_hat,max_q_trout_hat,class_counts
18,snps_5_sample_10_pop_1_ind_0.001,8,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
19,snps_5_sample_10_pop_1_ind_0.001,9,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.1,0,1,nonhybrid_Salmon=9; nonhybrid_Trout=1
20,snps_5_sample_10_pop_1_ind_0.001,10,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
21,snps_5_sample_10_pop_1_ind_0.005,1,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
22,snps_5_sample_10_pop_1_ind_0.005,2,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.35,0,1,F1=1; nonhybrid_Salmon=6; nonhybrid_Trout=3
23,snps_5_sample_10_pop_1_ind_0.005,3,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
24,snps_5_sample_10_pop_1_ind_0.005,4,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
25,snps_5_sample_10_pop_1_ind_0.005,5,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
26,snps_5_sample_10_pop_1_ind_0.005,6,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
27,snps_5_sample_10_pop_1_ind_0.005,7,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
28,snps_5_sample_10_pop_1_ind_0.005,8,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
29,snps_5_sample_10_pop_1_ind_0.005,9,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
30,snps_5_sample_10_pop_1_ind_0.005,10,5,10,1,0.005,0.005,0.05,0.048889869534228136,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
31,snps_5_sample_10_pop_1_ind_0.01,1,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
32,snps_5_sample_10_pop_1_ind_0.01,2,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.16999999999999998,0,1,BC1_to_Trout=1; nonhybrid_Salmon=8; nonhybrid_Trout=1
33,snps_5_sample_10_pop_1_ind_0.01,3,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.51,0,1,BC3_to_Salmon=1; nonhybrid_Salmon=4; nonhybrid_Trout=5
34,snps_5_sample_10_pop_1_ind_0.01,4,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
35,snps_5_sample_10_pop_1_ind_0.01,5,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
36,snps_5_sample_10_pop_1_ind_0.01,6,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
37,snps_5_sample_10_pop_1_ind_0.01,7,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
38,snps_5_sample_10_pop_1_ind_0.01,8,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
39,snps_5_sample_10_pop_1_ind_0.01,9,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
40,snps_5_sample_10_pop_1_ind_0.01,10,5,10,1,0.01,0.01,0.1,0.09561792499119559,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.8,0,1,nonhybrid_Salmon=2; nonhybrid_Trout=8
41,snps_5_sample_10_pop_1_ind_0.025,1,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
42,snps_5_sample_10_pop_1_ind_0.025,2,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
43,snps_5_sample_10_pop_1_ind_0.025,3,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
44,snps_5_sample_10_pop_1_ind_0.025,4,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,2,8,TRUE,2,2,0,0,TRUE,FALSE,0.44,0,1,BC2_to_Trout=1; F1=1; nonhybrid_Salmon=5; nonhybrid_Trout=3
45,snps_5_sample_10_pop_1_ind_0.025,5,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
46,snps_5_sample_10_pop_1_ind_0.025,6,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
47,snps_5_sample_10_pop_1_ind_0.025,7,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
48,snps_5_sample_10_pop_1_ind_0.025,8,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
49,snps_5_sample_10_pop_1_ind_0.025,9,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,1,9,TRUE,0,0,0,1,FALSE,FALSE,0.4,0,1,BC3_to_Trout=1; nonhybrid_Salmon=6; nonhybrid_Trout=3
50,snps_5_sample_10_pop_1_ind_0.025,10,5,10,1,0.025,0.025,0.25,0.22367037914356236,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
51,snps_5_sample_10_pop_1_ind_0.05,1,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,2,8,TRUE,2,2,0,0,TRUE,FALSE,0.51,0,1,BC1_to_Trout=1; F1=1; nonhybrid_Salmon=4; nonhybrid_Trout=4
52,snps_5_sample_10_pop_1_ind_0.05,2,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.2,0,1,nonhybrid_Salmon=8; nonhybrid_Trout=2
53,snps_5_sample_10_pop_1_ind_0.05,3,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,3,7,TRUE,3,3,0,0,TRUE,FALSE,0.45,0,1,BC1_to_Trout=1; F2=2; nonhybrid_Salmon=4; nonhybrid_Trout=3
54,snps_5_sample_10_pop_1_ind_0.05,4,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.45,0,1,F1=1; nonhybrid_Salmon=5; nonhybrid_Trout=4
55,snps_5_sample_10_pop_1_ind_0.05,5,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
56,snps_5_sample_10_pop_1_ind_0.05,6,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
57,snps_5_sample_10_pop_1_ind_0.05,7,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
58,snps_5_sample_10_pop_1_ind_0.05,8,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
59,snps_5_sample_10_pop_1_ind_0.05,9,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
60,snps_5_sample_10_pop_1_ind_0.05,10,5,10,1,0.05,0.05,0.5,0.4012630607616213,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
61,snps_5_sample_10_pop_1_ind_0.1,1,5,10,1,0.1,0.1,1,0.6513215599,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
62,snps_5_sample_10_pop_1_ind_0.1,2,5,10,1,0.1,0.1,1,0.6513215599,TRUE,2,8,TRUE,1,1,0,1,TRUE,FALSE,0.49,0,1,BC3_to_Trout=2; nonhybrid_Salmon=5; nonhybrid_Trout=3
63,snps_5_sample_10_pop_1_ind_0.1,3,5,10,1,0.1,0.1,1,0.6513215599,TRUE,2,8,TRUE,1,1,0,1,TRUE,FALSE,0.78,0,1,BC2_to_Salmon=1; BC2_to_Trout=1; nonhybrid_Salmon=1; nonhybrid_Trout=7
64,snps_5_sample_10_pop_1_ind_0.1,4,5,10,1,0.1,0.1,1,0.6513215599,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.21,0,1,BC2_to_Salmon=1; nonhybrid_Salmon=7; nonhybrid_Trout=2
65,snps_5_sample_10_pop_1_ind_0.1,5,5,10,1,0.1,0.1,1,0.6513215599,TRUE,3,7,TRUE,3,3,0,0,TRUE,FALSE,0.43,0,1,BC1_to_Salmon=1; BC1_to_Trout=1; BC2_to_Salmon=1; nonhybrid_Salmon=4; nonhybrid_Trout=3
66,snps_5_sample_10_pop_1_ind_0.1,6,5,10,1,0.1,0.1,1,0.6513215599,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
67,snps_5_sample_10_pop_1_ind_0.1,7,5,10,1,0.1,0.1,1,0.6513215599,TRUE,2,8,TRUE,1,1,0,1,TRUE,FALSE,0.54,0,1,BC3_to_Salmon=1; F2=1; nonhybrid_Salmon=3; nonhybrid_Trout=5
68,snps_5_sample_10_pop_1_ind_0.1,8,5,10,1,0.1,0.1,1,0.6513215599,TRUE,2,8,TRUE,2,2,0,0,TRUE,FALSE,0.34,0,1,BC1_to_Salmon=1; F2=1; nonhybrid_Salmon=5; nonhybrid_Trout=3
69,snps_5_sample_10_pop_1_ind_0.1,9,5,10,1,0.1,0.1,1,0.6513215599,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.51,0,1,BC2_to_Salmon=1; nonhybrid_Salmon=4; nonhybrid_Trout=5
70,snps_5_sample_10_pop_1_ind_0.1,10,5,10,1,0.1,0.1,1,0.6513215599,TRUE,1,9,TRUE,1,1,0,0,TRUE,FALSE,0.51,0,1,BC2_to_Salmon=1; nonhybrid_Salmon=4; nonhybrid_Trout=5
71,snps_5_sample_10_pop_1_ind_0.25,1,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,2,8,TRUE,2,2,0,0,TRUE,FALSE,0.43,0,1,BC2_to_Trout=1; F1=1; nonhybrid_Salmon=5; nonhybrid_Trout=3
72,snps_5_sample_10_pop_1_ind_0.25,2,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,3,7,TRUE,1,1,0,2,TRUE,FALSE,0.41,0,1,BC2_to_Salmon=2; BC3_to_Salmon=1; nonhybrid_Salmon=3; nonhybrid_Trout=4
73,snps_5_sample_10_pop_1_ind_0.25,3,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,3,7,TRUE,3,3,0,0,TRUE,FALSE,0.54,0,1,F2=3; nonhybrid_Salmon=3; nonhybrid_Trout=4
74,snps_5_sample_10_pop_1_ind_0.25,4,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,3,7,TRUE,2,2,0,1,TRUE,FALSE,0.43,0,1,BC3_to_Salmon=2; BC3_to_Trout=1; nonhybrid_Salmon=4; nonhybrid_Trout=3
75,snps_5_sample_10_pop_1_ind_0.25,5,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,3,7,TRUE,2,2,0,1,TRUE,FALSE,0.7,0,1,BC1_to_Salmon=1; BC3_to_Trout=1; F2=1; nonhybrid_Salmon=2; nonhybrid_Trout=5
76,snps_5_sample_10_pop_1_ind_0.25,6,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,6,4,TRUE,4,4,0,2,TRUE,FALSE,0.39,0,1,BC1_to_Salmon=1; BC1_to_Trout=2; BC3_to_Salmon=2; BC3_to_Trout=1; nonhybrid_Salmon=3; nonhybrid_Trout=1
77,snps_5_sample_10_pop_1_ind_0.25,7,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,5,5,TRUE,5,5,0,0,TRUE,FALSE,0.62,0,1,BC1_to_Trout=1; BC2_to_Trout=1; F2=3; nonhybrid_Salmon=2; nonhybrid_Trout=3
78,snps_5_sample_10_pop_1_ind_0.25,8,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,4,6,TRUE,3,3,0,1,TRUE,FALSE,0.67,0,1,BC2_to_Trout=1; BC3_to_Trout=1; F1=1; F2=1; nonhybrid_Salmon=2; nonhybrid_Trout=4
79,snps_5_sample_10_pop_1_ind_0.25,9,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
80,snps_5_sample_10_pop_1_ind_0.25,10,5,10,1,0.25,0.25,2.5,0.9436864852905273,TRUE,3,7,TRUE,3,3,0,0,TRUE,FALSE,0.55,0,1,BC1_to_Trout=2; BC3_to_Trout=1; nonhybrid_Salmon=4; nonhybrid_Trout=3
81,snps_5_sample_10_pop_1_ind_0.5,1,5,10,1,0.5,0.5,5,0.9990234375,TRUE,6,4,TRUE,6,6,0,0,TRUE,FALSE,0.29,0,1,BC1_to_Salmon=2; BC3_to_Salmon=1; F1=2; F2=1; nonhybrid_Salmon=3; nonhybrid_Trout=1
82,snps_5_sample_10_pop_1_ind_0.5,2,5,10,1,0.5,0.5,5,0.9990234375,TRUE,5,5,TRUE,4,4,0,1,TRUE,FALSE,0.59,0,1,BC1_to_Salmon=2; BC1_to_Trout=1; BC2_to_Trout=1; F2=1; nonhybrid_Salmon=2; nonhybrid_Trout=3
83,snps_5_sample_10_pop_1_ind_0.5,3,5,10,1,0.5,0.5,5,0.9990234375,TRUE,2,8,TRUE,1,1,0,1,TRUE,FALSE,0.75,0,1,BC3_to_Trout=1; F1=1; nonhybrid_Salmon=2; nonhybrid_Trout=6
84,snps_5_sample_10_pop_1_ind_0.5,4,5,10,1,0.5,0.5,5,0.9990234375,TRUE,5,5,TRUE,3,3,0,2,TRUE,FALSE,0.41000000000000003,0,1,BC2_to_Salmon=1; BC3_to_Salmon=1; BC3_to_Trout=3; nonhybrid_Salmon=4; nonhybrid_Trout=1
85,snps_5_sample_10_pop_1_ind_0.5,5,5,10,1,0.5,0.5,5,0.9990234375,TRUE,3,7,TRUE,2,2,0,1,TRUE,FALSE,0.47,0,1,BC2_to_Salmon=1; BC3_to_Trout=1; F1=1; nonhybrid_Salmon=4; nonhybrid_Trout=3
86,snps_5_sample_10_pop_1_ind_0.5,6,5,10,1,0.5,0.5,5,0.9990234375,TRUE,3,7,TRUE,3,3,0,0,TRUE,FALSE,0.48,0,1,BC2_to_Salmon=2; F1=1; nonhybrid_Salmon=3; nonhybrid_Trout=4
87,snps_5_sample_10_pop_1_ind_0.5,7,5,10,1,0.5,0.5,5,0.9990234375,TRUE,5,5,TRUE,3,3,0,2,TRUE,FALSE,0.43,0,1,BC1_to_Trout=2; BC3_to_Salmon=1; BC3_to_Trout=2; nonhybrid_Salmon=4; nonhybrid_Trout=1
88,snps_5_sample_10_pop_1_ind_0.5,8,5,10,1,0.5,0.5,5,0.9990234375,TRUE,3,7,TRUE,2,2,0,1,TRUE,FALSE,0.37,0,1,BC2_to_Salmon=1; BC3_to_Salmon=1; F2=1; nonhybrid_Salmon=4; nonhybrid_Trout=3
89,snps_5_sample_10_pop_1_ind_0.5,9,5,10,1,0.5,0.5,5,0.9990234375,TRUE,4,6,TRUE,3,3,0,1,TRUE,FALSE,0.65,0,1,BC1_to_Trout=2; BC3_to_Salmon=1; BC3_to_Trout=1; nonhybrid_Salmon=2; nonhybrid_Trout=4
90,snps_5_sample_10_pop_1_ind_0.5,10,5,10,1,0.5,0.5,5,0.9990234375,TRUE,7,3,TRUE,6,6,0,1,TRUE,FALSE,0.52,0,1,BC2_to_Salmon=1; BC2_to_Trout=1; BC3_to_Salmon=2; BC3_to_Trout=1; F1=2; nonhybrid_Salmon=1; nonhybrid_Trout=2
91,snps_5_sample_10_pop_1_ind_0.75,1,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,8,2,TRUE,7,7,0,1,TRUE,FALSE,0.38,0,1,BC1_to_Salmon=2; BC1_to_Trout=1; BC2_to_Trout=1; BC3_to_Salmon=2; F2=2; nonhybrid_Salmon=2
92,snps_5_sample_10_pop_1_ind_0.75,2,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,8,2,TRUE,5,5,0,3,TRUE,FALSE,0.44,0,1,BC1_to_Salmon=3; BC2_to_Trout=2; BC3_to_Salmon=2; BC3_to_Trout=1; nonhybrid_Salmon=1; nonhybrid_Trout=1
93,snps_5_sample_10_pop_1_ind_0.75,3,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,7,3,TRUE,7,7,0,0,TRUE,FALSE,0.54,0,1,BC1_to_Salmon=1; BC2_to_Salmon=1; BC2_to_Trout=1; F1=3; F2=1; nonhybrid_Salmon=1; nonhybrid_Trout=2
94,snps_5_sample_10_pop_1_ind_0.75,4,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,6,4,TRUE,6,6,0,0,TRUE,FALSE,0.27999999999999997,0,1,BC1_to_Trout=1; BC2_to_Salmon=2; BC3_to_Salmon=2; F2=1; nonhybrid_Salmon=3; nonhybrid_Trout=1
95,snps_5_sample_10_pop_1_ind_0.75,5,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,5,5,TRUE,4,4,0,1,TRUE,FALSE,0.55,0,1,BC3_to_Salmon=3; F1=1; F2=1; nonhybrid_Salmon=1; nonhybrid_Trout=4
96,snps_5_sample_10_pop_1_ind_0.75,6,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,10,0,TRUE,9,9,0,1,TRUE,FALSE,0.72,0.5,1,BC1_to_Trout=1; BC3_to_Trout=3; F1=1; F2=5
97,snps_5_sample_10_pop_1_ind_0.75,7,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,7,3,TRUE,6,6,0,1,TRUE,FALSE,0.4,0,1,BC1_to_Salmon=2; BC2_to_Salmon=2; BC3_to_Salmon=1; BC3_to_Trout=1; F1=1; nonhybrid_Salmon=1; nonhybrid_Trout=2
98,snps_5_sample_10_pop_1_ind_0.75,8,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,8,2,TRUE,8,8,0,0,TRUE,FALSE,0.32,0,0.8,BC1_to_Salmon=2; BC1_to_Trout=1; BC2_to_Salmon=1; BC3_to_Salmon=1; F1=2; F2=1; nonhybrid_Salmon=2
99,snps_5_sample_10_pop_1_ind_0.75,9,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,7,3,TRUE,5,5,0,2,TRUE,FALSE,0.48,0,1,BC1_to_Trout=1; BC3_to_Salmon=3; BC3_to_Trout=1; F1=1; F2=1; nonhybrid_Salmon=1; nonhybrid_Trout=2
100,snps_5_sample_10_pop_1_ind_0.75,10,5,10,1,0.75,0.75,7.5,0.9999990463256836,TRUE,8,2,TRUE,8,8,0,0,TRUE,FALSE,0.41000000000000003,0,1,BC1_to_Salmon=2; BC1_to_Trout=1; BC2_to_Salmon=2; BC2_to_Trout=1; F1=1; F2=1; nonhybrid_Salmon=1; nonhybrid_Trout=1
101,snps_5_sample_10_pop_1_ind_1,1,5,10,1,1,1,10,1,TRUE,10,0,TRUE,6,6,0,4,TRUE,FALSE,0.33,0,1,BC1_to_Salmon=3; BC2_to_Salmon=3; BC3_to_Salmon=1; BC3_to_Trout=2; F1=1
102,snps_5_sample_10_pop_1_ind_1,2,5,10,1,1,1,10,1,TRUE,10,0,TRUE,8,8,0,2,TRUE,FALSE,0.44,0,1,BC1_to_Salmon=3; BC1_to_Trout=2; BC3_to_Salmon=1; BC3_to_Trout=1; F1=1; F2=2
103,snps_5_sample_10_pop_1_ind_1,3,5,10,1,1,1,10,1,TRUE,10,0,TRUE,7,7,0,3,TRUE,FALSE,0.32,0,1,BC1_to_Salmon=3; BC2_to_Salmon=1; BC3_to_Salmon=2; BC3_to_Trout=1; F1=1; F2=2
